gene,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,fdr
Insl5,0.7993197278911565,0.20068027210884354,1.3820480329185705,2.8626337e-06,7.962735e-07,1.839682e-08,0.1,2.6141055,2.5621634,3.0424373,-8.116629,12.580569,0.0018484289,0.00043159258,0.0018484288354898336,0.00043159257660768235,0.006472362,0.0023700856,False,RES_vs_CON,CURES,CON,0.8000989818301193
Gm48708,0.7985194077631053,0.20148059223689474,1.377066175220778,3.287848e-06,1.1407613e-05,1.839682e-08,0.1,-1.8545641,-1.8717909,2.1092684,-9.091138,5.9834023,0.008317931,0.006042296,0.008317929759704249,0.005179110919292188,0.031308964,0.026891472,False,RES_vs_CON,CURES,CON,0.7993465864805491
Tpi1,0.7951180472188876,0.20488195278111243,1.3560565812804655,3.7767182e-05,7.0111884e-05,1.839682e-08,0.1,-0.9381609,-0.9480901,1.0137079,-4.4397078,3.6408405,0.113216296,0.14760461,0.10767097966728328,0.1307725507121283,0.46146417,0.65220594,False,RES_vs_CON,CURES,CON,0.795990205954411
Prkag2,0.7947178871548619,0.2052821128451381,1.3536019633039806,8.280897e-05,4.875244e-05,1.839682e-08,0.1,0.80847746,0.7864466,0.8670515,-2.2309875,4.053464,0.18299386,0.104876846,0.15573012939001957,0.09624514458351337,0.6936301,0.46517348,False,RES_vs_CON,CURES,CON,0.7956380919117602
Znhit1,0.7925170068027211,0.20748299319727892,1.3401645538136948,1.418295e-05,3.7463833e-05,1.839682e-08,0.1,-1.2399299,-1.2808499,1.4143229,-5.6383066,4.273347,0.033733834,0.042296123,0.03280961182994452,0.04013810962451445,0.13093744,0.1863409,False,RES_vs_CON,CURES,CON,0.7934830197315396
Bmi1,0.7911164465786314,0.20888355342136855,1.3316682000547801,3.1762986e-05,1.1706301e-05,1.839682e-08,0.1,1.5075446,1.4703083,1.7253003,-4.2891226,8.195783,0.019870615,0.01337937,0.019408502772643253,0.013379369874838162,0.07466487,0.056394026,False,RES_vs_CON,CURES,CON,0.7921290293407544
Vamp8,0.7911164465786314,0.20888355342136855,1.3316682000547801,2.6510681e-06,2.0038671e-05,1.839682e-08,0.1,-2.1901152,-2.0844555,2.5936205,-11.381297,5.769187,0.007855823,0.008200259,0.00785582255083179,0.008200258955545964,0.030159649,0.039258976,False,RES_vs_CON,CURES,CON,0.7921290293407544
Cdca7l,0.7897158863545418,0.21028411364545818,1.3232136698939692,4.820645e-06,1.34692e-06,1.839682e-08,0.1,2.7134063,2.5451326,3.1733801,-8.573591,14.727401,0.0032347504,0.0017263703,0.003234750462107208,0.0017263703064307294,0.012339124,0.00783607,False,RES_vs_CON,CURES,CON,0.7908230771735698
Gm36584,0.788515406162465,0.21148459383753504,1.3159997567220592,1.8703005e-06,3.7945864e-07,1.839682e-08,0.1,2.3720236,2.2991247,2.7910511,-6.9170284,13.181112,0.002310536,0.0,0.0018484288354898336,0.0,0.008638502,0.0,False,RES_vs_CON,CURES,CON,0.7896690497706033
Map2k6,0.7865146058423369,0.2134853941576631,1.304042839992818,0.00019690332,0.00028316682,1.839682e-08,0.1,-0.49439973,-0.48850155,0.49872872,-2.358512,1.193677,0.47273523,0.6957318,0.34750462107209223,0.43634009495037046,1.7940323,2.9960394,False,RES_vs_CON,CURES,CON,0.7877133417532104
Gm15675,0.7863145258103241,0.21368547418967587,1.3028516512629724,1.5568884e-06,4.650554e-07,1.839682e-08,0.1,2.2516625,2.3096304,2.7212052,-10.86734,12.241558,0.00092421443,0.0,0.0009242144177449168,0.0,0.0036476396,0.0,False,RES_vs_CON,CURES,CON,0.78756097000439
Arhgef33,0.7863145258103241,0.21368547418967587,1.3028516512629724,3.8966493e-05,1.4959632e-05,1.839682e-08,0.1,1.5833782,1.6043038,1.8651483,-4.54827,7.5885344,0.024953796,0.01899008,0.02356746765249537,0.01855848079413036,0.09875999,0.08205256,False,RES_vs_CON,CURES,CON,0.78756097000439
Zbtb16,0.7825130052020808,0.21748699479791922,1.2803714544338851,8.559335e-05,0.00018754468,1.839682e-08,0.1,-0.98376673,-0.8293762,1.1314243,-4.827299,2.3560772,0.16173713,0.62797064,0.14048059149722825,0.3759171342252943,0.6254845,2.5937376,False,RES_vs_CON,CURES,CON,0.7838490030158405
Eif3i,0.782312925170068,0.217687074829932,1.2791961924086332,1.3090317e-05,2.6047135e-05,1.839682e-08,0.1,-0.97723716,-0.98991776,1.1208951,-4.9495926,3.016882,0.047134947,0.06387578,0.04667282809611824,0.06128614587829076,0.19012569,0.29578605,False,RES_vs_CON,CURES,CON,0.7836963677476599
Zbbx,0.7819127651060425,0.21808723489395754,1.2768480048754247,1.8378922e-06,5.100107e-07,1.839682e-08,0.1,2.232766,2.2170668,2.7266688,-8.471857,11.929426,0.0013863216,0.0,0.0013863216266173752,0.0,0.005351501,0.0,False,RES_vs_CON,CURES,CON,0.7833432677864413
Gm49959,0.7817126850740296,0.21828731492597042,1.275675076203242,1.7070475e-06,5.489027e-07,1.839682e-08,0.1,2.1861715,2.199008,2.633525,-8.620407,11.446981,0.0027726432,0.00043159258,0.00277264325323475,0.00043159257660768235,0.008612143,0.0015326441,False,RES_vs_CON,CURES,CON,0.7831905830576422
Tafa5,0.779311724689876,0.22068827531012403,1.2616599065703997,0.00032043806,0.00022276047,1.839682e-08,0.1,0.57074356,0.56289864,0.6047607,-1.5325861,3.0615377,0.8756977,0.49288142,0.548059149722736,0.3642641346568868,3.3360627,2.117464,False,RES_vs_CON,CURES,CON,0.7808327039037133
