model,label,mean_roc,std_roc
raw,raw (no correction),0.5909498014040123,0.039664658049654036
scvi,scVI,0.5562781681812969,0.023157923190920287
scviHarmony,scVI + Harmony,0.5383087923531296,0.014739556838708076
svibatch,paired-batch scVI (D1 counts),0.636090188844795,0.06284606117027779
