gene,logFC_CON_vs_CON,logFC_CSRES_vs_CON,logFC_CSSUS_vs_CON,logFC_CURES_vs_CON,logFC_CUSUS_vs_CON
Rab23,0.0,-0.1030598,-0.09853509,-0.032057643,0.026143111
Bag2,0.0,-0.27871653,-0.31792992,-0.21597189,-0.35937095
Zfp451,0.0,0.15884814,-0.0716345,0.05863569,-0.07751377
Bend6,0.0,0.3569407,0.06109675,-0.19972198,-0.007071145
Dst,0.0,0.09314619,0.13465968,0.14169915,-0.0590719
Gm26788,0.0,0.18371771,-0.14268613,-0.024859617,-0.12051745
Ccdc115,0.0,-0.012953358,-0.005163137,-0.16892558,-0.054571442
Imp4,0.0,0.10591458,0.06856024,0.17994094,-0.019543089
Ptpn18,0.0,0.021529142,0.005775813,0.0263734,0.05402808
Amer3,0.0,-0.108485594,-0.074598715,-0.18301667,-0.052145377
Arhgef4,0.0,-0.16681716,0.08285327,0.016477853,0.037119273
Fam168b,0.0,0.12485955,0.095151454,0.04664909,0.114969574
Plekhb2,0.0,0.0020141825,0.10586259,-0.022023387,-0.003203757
Hs6st1,0.0,-0.22679344,0.1522494,0.18992268,-0.07702717
Uggt1,0.0,0.11997421,0.2639456,0.104201764,-0.046435148
Arid5a,0.0,-0.10493399,-0.08805063,0.06747741,-0.13305719
4930403P22Rik,0.0,-0.32623148,-0.1946947,-0.14557947,-0.11801166
Kansl3,0.0,0.06382431,0.25286072,0.2530433,-0.11712107
Lman2l,0.0,-0.42191464,-0.15017787,-0.2892515,-0.17338428
Cnnm4,0.0,-0.18842795,-0.030021787,0.28522855,0.029868882
Cnnm3,0.0,0.12881924,-0.0056125224,0.11810428,-0.04158941
Ankrd23,0.0,0.16636366,0.07656668,0.0070898533,0.05501452
Ankrd39,0.0,0.13865358,0.18095654,0.17252286,-0.14283314
Sema4c,0.0,0.14550164,0.12617534,0.31608257,-0.067590654
D430040D24Rik,0.0,-0.015839562,0.10876452,0.08346546,-0.08496074
Fam178b,0.0,-0.030984232,0.11224026,-0.038226545,-0.030993225
Cox5b,0.0,0.08632452,0.096676886,-0.19655189,0.2584477
Actr1b,0.0,0.3334576,0.17479783,0.36454982,-0.2539639
4933424G06Rik,0.0,0.022482108,0.062118005,0.06648627,-0.015673775
Gm33533,0.0,0.067040294,-0.04245786,-0.061559808,-0.07154053
Tmem131,0.0,0.12212087,0.1545422,0.20557322,-0.09376991
Gm38115,0.0,-0.08340734,0.318734,0.14439698,0.10693233
Vwa3b,0.0,0.048946276,-0.04071651,-0.08758753,0.039746903
Inpp4a,0.0,0.19339734,0.16426286,0.10852389,0.02977869
Coa5,0.0,0.0052295784,-0.16023128,-0.028933896,0.022479307
Unc50,0.0,-0.009893073,-0.16441123,-0.037958845,-0.18964621
Mgat4a,0.0,0.1895722,0.33160543,0.21379143,0.047440767
2010300C02Rik,0.0,0.22911963,-0.1102728,0.1382119,0.05859668
Tsga10,0.0,-0.040494706,0.011424817,-0.07583867,-0.142269
Gm26805,0.0,-0.07646392,-0.018260363,-0.047355834,0.06088414
Lipt1,0.0,0.026951961,-0.291126,-0.08302027,0.037942365
Mitd1,0.0,0.39670992,0.1313799,0.17881773,-0.16133529
Mrpl30,0.0,0.07077138,0.0920206,-0.3150022,0.12027819
Txndc9,0.0,-0.094790354,-0.049067058,-0.08203498,-0.17098658
Eif5b,0.0,-0.014660334,0.0026771976,-0.2785082,-0.1268659
Rev1,0.0,0.05746021,0.12647988,-0.036898196,-0.015468776
Aff3,0.0,-0.09872022,-0.15257236,-0.12582758,-0.23393115
Gm16150,0.0,0.026031295,0.07503398,0.053329084,-0.07543144
Gm16152,0.0,-0.17653227,-0.0032628253,0.04016912,-0.06808553
Lonrf2,0.0,0.14632727,0.211071,0.18563677,0.01647389
Chst10,0.0,0.23200727,0.27597204,0.14399575,0.0008340925
Pdcl3,0.0,0.05987083,-0.24568692,-0.23169717,-0.21183121
Npas2,0.0,-0.2477836,-0.042668447,-0.07575405,-0.23398355
Rpl31,0.0,0.23263669,0.17240247,-0.14117378,0.049224615
Tbc1d8,0.0,-0.67279017,-0.6555704,-0.4894044,-0.6855618
Cnot11,0.0,0.06890592,-0.1839179,-0.065899245,-0.10380197
Gm15832,0.0,0.019857554,-0.13329592,-0.095376045,0.030654354
Rnf149,0.0,-0.10071288,0.11021784,0.078059316,0.21901865
Creg2,0.0,0.3264944,0.009891316,0.13627958,0.035213754
Map4k4,0.0,-0.052354395,0.103531465,0.17113335,0.042316757
Il1r2,0.0,-0.03374958,-0.003967558,-0.055204354,-0.024121199
Gm16894,0.0,0.11258662,-0.11114925,-0.0029560202,-0.1767152
Il1r1,0.0,-0.21385212,0.012098268,-0.1603347,-0.13903421
Il1rl2,0.0,-0.024888322,-0.01648976,0.048930075,0.01896563
Slc9a2,0.0,0.031579453,-0.029452534,0.070846684,-0.01769826
Mfsd9,0.0,0.014317985,-0.07488325,0.00042069703,0.018740254
Gm28175,0.0,0.117959335,0.23628148,0.057192765,0.15540987
Pantr1,0.0,-0.22893313,0.0841209,-0.12869452,-0.23260544
Gm20646,0.0,0.14035915,0.22032836,0.44181752,0.12615085
Pou3f3,0.0,0.28596652,0.07129504,0.3222532,0.091204986
Pantr2,0.0,0.067751735,-0.05400482,0.05027923,-0.07401471
Mrps9,0.0,-0.01691482,0.063695975,-0.063704625,-0.17546482
Gpr45,0.0,0.11156956,-0.31777048,-0.24269125,-0.094879664
Tgfbrap1,0.0,0.3730679,0.25430194,0.33477023,-0.09387773
8430432A02Rik,0.0,0.24904215,0.18934499,0.26636475,0.15144256
AI597479,0.0,0.21741156,-0.17172575,-0.054422934,0.02616646
Fhl2,0.0,0.08575162,0.08671153,-0.016880978,-0.0049387664
Nck2,0.0,0.044212878,0.053392548,0.023400236,-0.046178497
Ecrg4,0.0,0.16399163,-0.27517775,-0.06018669,-0.0027169157
Uxs1,0.0,0.039298333,-0.03967278,-0.03990693,-0.08977309
Tpp2,0.0,-0.0055725127,0.065365896,-0.09706882,0.04254724
Tex30,0.0,0.14635159,-0.0056035966,0.095019326,0.23963338
Poglut2,0.0,0.029832706,0.08176807,0.21876594,0.17364706
Bivm,0.0,-0.011303238,0.048267405,-0.15650001,-0.07213387
Ercc5,0.0,-0.37529424,-0.19874129,-0.40955386,-0.29139727
Gulp1,0.0,0.008305579,0.11186917,0.06563872,-0.04171606
Col5a2,0.0,0.043591216,0.08643514,0.09741522,0.1787274
Wdr75,0.0,0.26506776,0.13092515,0.03240975,-0.012266144
Slc40a1,0.0,-0.055159084,0.026598144,-0.07598595,-0.046818905
Dnah7b,0.0,-0.0976295,0.009774018,0.06306468,-0.09138183
Dnah7c,0.0,0.27168274,0.2301802,0.38121304,0.23292547
Slc39a10,0.0,0.4725588,0.22492109,0.36841545,0.10126962
Gm28151,0.0,0.19899252,0.18309641,0.35234064,0.2000158
Tmeff2,0.0,0.32427362,0.087950096,0.27922708,0.11465584
Gm28319,0.0,-0.0051118825,-0.022160413,-6.8556285e-05,0.006722198
Gm28320,0.0,-5.1647425e-05,0.114935696,0.10941702,0.12772253
Gm29325,0.0,0.008120686,-0.047707617,0.00010249764,0.091971785
9330175M20Rik,0.0,0.41334105,0.0880204,0.15563908,0.10149558
Cavin2,0.0,0.06467641,-0.018256959,0.008942597,-0.06326026
Nabp1,0.0,0.10616332,0.11972162,0.19137478,0.21531343
Gm28055,0.0,-0.029999198,-0.11811546,-0.10112334,-0.03634642
Myo1b,0.0,0.18723156,-0.1296608,0.058206275,-0.13155037
Stat4,0.0,-0.038316406,-0.035425164,0.008727377,0.017201617
Gm31812,0.0,-0.0848331,-0.13549957,-0.01392876,-0.17464107
Stat1,0.0,0.097750984,-0.21306884,-0.1069707,-0.37771744
Gls,0.0,0.15784973,0.04931573,0.042062618,0.008188352
Nab1,0.0,0.034942124,0.10959914,0.012193147,-0.048836395
Gm553,0.0,-0.01595713,0.06985526,0.013575859,0.010746257
Nemp2,0.0,0.12442066,-0.14156663,0.18040714,-0.03554725
Mfsd6,0.0,0.13311177,0.24678451,0.15396799,0.20549577
Inpp1,0.0,0.1907027,0.19512373,0.18996799,0.057564303
Hibch,0.0,0.08552451,0.1660111,0.15512767,0.1339367
1700019D03Rik,0.0,-0.15436791,-0.040865235,0.11413032,-0.15561116
1700019A02Rik,0.0,0.0191423,-0.10085607,0.07329349,-0.11756593
